Modality,Operator,PSNR,FOM
mri,Roberts,12.74880301571467,0.9252111456045002
mri,Frei-Chen,12.746892747301487,0.9315641169184193
mri,Sobel,11.2333574773573,0.9320249210717811
mri,Prewitt,11.245401868936737,0.9309662428109097
mri,Kirsch,11.238712833776168,0.9315671402252826
mri,LoG,11.485874702362175,0.8424443197949736
mri,Roberts,11.197495750164412,0.9255771844987624
mri,Frei-Chen,11.238214134924664,0.9315097811527913
mri,Sobel,12.015065388173582,0.9309930466626489
mri,Prewitt,12.00527517719811,0.9300389131324458
mri,Kirsch,11.988741964585385,0.9304719016080351
mri,LoG,12.340477482381313,0.8394877248299427
mri,Roberts,11.98504174862415,0.924822596494601
mri,Frei-Chen,12.008441124739026,0.9305015009953838
mri,Sobel,11.532763381386452,0.932367017138644
mri,Prewitt,11.526130376109604,0.9314502153296129
mri,Kirsch,11.497804495081443,0.9319541642092867
mri,LoG,11.827481315447685,0.8406033144180673
mri,Roberts,11.49941674345124,0.926190558179863
mri,Frei-Chen,11.530259616422615,0.9318265832004878
mri,Sobel,11.489682629045689,0.9320924214852206
mri,Prewitt,11.478466561494162,0.9311541256647173
mri,Kirsch,11.47309542778701,0.9319562702715283
mri,LoG,11.829475648607573,0.8380089842992232
mri,Roberts,11.45981047977676,0.9249543283477741
mri,Frei-Chen,11.482476655337798,0.9316941349813918
mri,Sobel,11.601850413483188,0.9311650801553264
mri,Prewitt,11.589570874654239,0.9303112771057744
mri,Kirsch,11.576072831189455,0.9309128774262091
mri,LoG,11.964954262290505,0.8326145751354723
mri,Roberts,11.613951924269127,0.924094930140308
mri,Frei-Chen,11.594096911259808,0.9306124608034735
mri,Sobel,11.943176592274945,0.9313252292487788
mri,Prewitt,11.933263207674681,0.9296902441673423
mri,Kirsch,11.91668070520925,0.9307157226956133
mri,LoG,12.290599734566989,0.8336038413315672
mri,Roberts,11.935084648298822,0.9238769085678291
mri,Frei-Chen,11.936655901794877,0.9303047634571985
mri,Sobel,11.743977022355196,0.9301215188067212
mri,Prewitt,11.740203648136907,0.928722231460761
mri,Kirsch,11.727105598398271,0.9293265871359366
mri,LoG,12.095222445537042,0.8332418373045241
mri,Roberts,11.75479617006306,0.9238498153497695
mri,Frei-Chen,11.74070491217975,0.929393680091407
mri,Sobel,12.35169932408747,0.9290503950250547
mri,Prewitt,12.347903331507435,0.9281391070287595
mri,Kirsch,12.319824486839728,0.9290412567579278
mri,LoG,12.661229194536372,0.8261188394061733
